547,"Leiderdorp"
553,"Lisse"
935,"Maastricht"
938,"Meerssen"
944,"Mook en Middelaar"
946,"Nederweert"
957,"Roermond"
965,"Simpelveld"
981,"Vaals"
983,"Venlo"
984,"Venray"
986,"Voerendaal"
988,"Weert"
994,"Valkenburg aan de Geul"
1911,"Hollands Kroon"
1916,"Leidschendam-Voorburg"
1945,"Berg en Dal"
1948,"Meierijstad"
1681,"Borger-Odoorn"
1949,"Waadhoeke"
1950,"Westerwolde"
1952,"Midden-Groningen"
1954,"Beekdaelen"
1955,"Montferland"
1959,"Altena"
1960,"West Betuwe"
1961,"Vijfheerenlanden"
1963,"Hoeksche Waard"
1966,"Het Hogeland"
785,"Goirle"
1969,"Westerkwartier"
556,"Maassluis"
569,"Nieuwkoop"
575,"Noordwijk"
579,"Oegstgeest"
589,"Oudewater"
1674,"Roosendaal"
1676,"Schouwen-Duiveland"
794,"Helmond"
1680,"Aa en Hunze"
590,"Papendrecht"
597,"Ridderkerk"
599,"Rotterdam"
606,"Schiedam"
610,"Sliedrecht"
755,"Boekel"
757,"Boxtel"
1586,"Oost Gelre"
758,"Breda"
762,"Deurne"
765,"Pekela"
766,"Dongen"
770,"Eersel"
772,"Eindhoven"
777,"Etten-Leur"
779,"Geertruidenberg"
784,"Gilze en Rijen"
796,"s-Hertogenbosch"
797,"Heusden"
995,"Lelystad"
1507,"Horst aan de Maas"
1509,"Oude IJsselstreek"
1525,"Teylingen"
1581,"Utrechtse Heuvelrug"
1598,"Koggenland"
1621,"Lansingerland"
1640,"Leudal"
1641,"Maasgouw"
1652,"Gemert-Bakel"
1655,"Halderberge"
1658,"Heeze-Leende"
1659,"Laarbeek"
1690,"De Wolden"
1695,"Noord-Beveland"
1696,"Wijdemeren"
1699,"Noordenveld"
1700,"Twenterand"
1667,"Reusel-De Mierden"
1669,"Roerdalen"
1771,"Geldrop-Mierlo"
1773,"Olst-Wijhe"
1924,"Goeree-Overflakkee"
1926,"Pijnacker-Nootdorp"
1930,"Nissewaard"
1931,"Krimpenerwaard"
1980,"Dijk en Waard"
1940,"De Fryske Marren"
1942,"Gooise Meren"
1970,"Noardeast-Frysl̢n"
1978,"Molenlanden"
1979,"Eemsdelta"
1982,"Land van Cuijk"
1991,"Maashorst"
1992,"Voorne aan Zee"
263,"Maasdriel"
888,"Beek"
971,"Stein"
417,"Laren"
373,"Bergen (NH)"
164,"Hengelo (O)"
687,"Middelburg"
893,"Bergen (L)"
603,"Rijswijk"
